"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.62151260187117e-10,0.272989075236117,0.838,0.786,5.22475623071954e-06,"1","Herpud1"
4.34210460221928e-10,0.639671606509576,0.353,0.257,6.26435430962175e-06,"1","Sel1l"
8.30719803353559e-10,0.842207581423914,0.198,0.122,1.19847946029818e-05,"1","Tent5c"
8.98732500079309e-10,0.473590018133545,0.367,0.268,1.29660137786442e-05,"1","Ctsb"
9.32707015361042e-10,0.909547083666166,0.104,0.05,1.34561641106137e-05,"1","Rgs10"
1.47756380702214e-09,0.584185974562179,0.477,0.383,2.13168130439084e-05,"1","Creld2"
2.83803924053288e-09,0.434848921016223,0.551,0.465,4.09443921231678e-05,"1","Rexo2"
3.42870671370418e-09,0.406396877091098,0.3,0.206,4.94659517586102e-05,"1","C1qb"
4.64733512365504e-09,0.360753370568632,0.541,0.438,6.70471038289713e-05,"1","Serinc3"
5.66768054501631e-09,1.11670132493477,0.137,0.077,8.17676272229504e-05,"1","Sdc1"
6.73572209051614e-09,0.696571294596898,0.244,0.164,9.71762625998763e-05,"1","C4b"
1.15649340686396e-08,0.323286774190507,0.465,0.365,0.000166847303808264,"1","Ifi27l2a"
1.3362189314277e-08,0.400158098518529,0.149,0.085,0.000192776305237075,"1","Cd79b"
2.52558637850401e-08,0.285896450138778,0.216,0.14,0.000364366346826774,"1","Arhgap45"
5.17040919288497e-08,0.570720064206865,0.334,0.249,0.000745934934257514,"1","Sub1"
5.50573326530157e-08,0.306137650908142,0.676,0.613,0.000794312138185057,"1","Phyh"
6.40566119606242e-08,0.500652320385015,0.259,0.18,0.000924144740755925,"1","C1qc"
7.36416060320124e-08,0.72726541423843,0.237,0.165,0.00106242745022384,"1","Txndc11"
8.90176880362019e-08,0.326918557437033,0.596,0.506,0.00128425818529829,"1","Rpn2"
9.70983968162424e-08,0.326267276841718,0.31,0.221,0.00140083857086793,"1","Tyrobp"
1.07786237634871e-07,0.653985273289015,0.182,0.116,0.00155503205035828,"1","Sparc"
1.59033896689562e-07,0.260596073021485,0.316,0.23,0.00229438202754031,"1","Gapdh"
1.68026786100494e-07,0.370438953979646,0.429,0.339,0.00242412244307183,"1","Tma7"
5.16294811586658e-07,0.983095763762195,0.11,0.063,0.00744858524676071,"1","Pafah1b3"
5.39297003418497e-07,0.344883388945051,0.559,0.488,0.00778043786831866,"1","Tmed9"
6.23962494981615e-07,0.278075018734491,0.517,0.426,0.00900190691509976,"1","Gsn"
7.93670153767443e-07,0.696062038633625,0.127,0.076,0.0114502793084029,"1","Mmp2"
1.40094306333403e-06,0.34513407202371,0.272,0.194,0.0202114055747201,"1","Limd2"
1.50401185412454e-06,0.913537720849653,0.118,0.07,0.0216983790194548,"1","Fam214a"
4.37727384077847e-06,0.499605835925026,0.238,0.173,0.063150929700911,"1","Isg20"
4.79025358696062e-06,0.423575503886961,0.34,0.269,0.0691089884990809,"1","Copb2"
4.99981998045563e-06,0.55764848140542,0.127,0.079,0.0721324028580334,"1","Srgn"
5.11070878389587e-06,0.388463359481627,0.212,0.149,0.0737321956252657,"1","Psmb8"
5.89019016773353e-06,0.283861444670585,0.587,0.512,0.0849777735498917,"1","Rrbp1"
6.01055706525943e-06,0.495337289960436,0.278,0.21,0.0867143067804978,"1","Syvn1"
6.34405722917527e-06,0.392304184238841,0.203,0.14,0.0915257136453116,"1","Cyba"
7.12477176559939e-06,0.50210800175845,0.275,0.21,0.102789082262302,"1","Selenop"
7.99087006402802e-06,0.770757661907532,0.127,0.081,0.115284282413732,"1","Cxcl12"
1.0190502062698e-05,0.370303007168173,0.431,0.359,0.147018373258544,"1","Fkbp2"
1.14863438698623e-05,0.276629847296062,0.262,0.192,0.165713483010504,"1","Igfbp7"
1.31131987601818e-05,0.502663846512346,0.234,0.173,0.189184118513142,"1","Srprb"
1.50514030377109e-05,0.620347386775963,0.163,0.111,0.217146591625056,"1","Mgat1"
1.55094876412837e-05,0.340356931761838,0.468,0.403,0.2237553782008,"1","Derl3"
1.77480873018669e-05,0.513425815495489,0.152,0.101,0.256051655504033,"1","Mpeg1"
2.11769641377927e-05,0.525661176313476,0.157,0.107,0.305520061615935,"1","Fam193b"
2.15222977736193e-05,0.352329573427914,0.432,0.364,0.310502189980005,"1","Gm8797"
2.45180740222021e-05,0.370522690193883,0.289,0.223,0.35372225391831,"1","C1qa"
2.48675256703881e-05,0.474964930122567,0.166,0.113,0.358763792846689,"1","Lgmn"
2.82630734426554e-05,0.460312254300925,0.16,0.109,0.40775136055719,"1","Zfp36l1"
3.1525870159951e-05,0.517183585322804,0.205,0.149,0.454823728797613,"1","Ganab"
3.75620820024555e-05,0.349966436059433,0.249,0.188,0.541908157049426,"1","Npc2"
4.0171258899369e-05,0.56238533491913,0.131,0.086,0.579550752141197,"1","Ccdc107"
4.08771341764707e-05,0.333692032435364,0.378,0.312,0.589734414763942,"1","Preb"
4.61509056908015e-05,0.341196831093291,0.338,0.27,0.665819116401193,"1","Erp44"
4.74665622422523e-05,0.507131300225637,0.171,0.121,0.684800093468974,"1","Cdv3"
4.92103614070576e-05,0.455360645838589,0.213,0.157,0.70995788401962,"1","Ndufs2"
5.38624344348501e-05,0.290219723301083,0.193,0.138,0.777073341591583,"1","Irf7"
5.44137740572254e-05,0.291178009293422,0.527,0.46,0.785027518323591,"1","Tmed10"
5.51469006009173e-05,0.453927713435721,0.115,0.074,0.795604334969435,"1","Pkig"
5.70094464638196e-05,0.445438977819395,0.182,0.13,0.822475284133525,"1","Smarca4"
5.79105506370935e-05,0.424585662469425,0.16,0.11,0.835475514041347,"1","Col1a2"
6.27811942144131e-05,0.28284447310663,0.517,0.453,0.905744288931337,"1","Zfp706"
6.63258727956818e-05,0.314194444541143,0.33,0.262,0.956883366823302,"1","H2-T23"
6.67705378976816e-05,0.382703222471433,0.285,0.227,0.963298550249853,"1","Ccl8"
7.66354757420516e-05,0.496719482763089,0.22,0.166,1,"1","Apod"
8.46808040203069e-05,0.348952213225594,0.309,0.246,1,"1","Mrpl18"
9.79879860359581e-05,0.573595329310078,0.141,0.097,1,"1","Bgn"
0.000100107625680905,0.274402994742845,0.428,0.357,1,"1","Erp29"
0.000100439223533743,0.317315983825122,0.256,0.195,1,"1","Ikbkb"
0.000102795977946192,0.444630971614635,0.175,0.126,1,"1","Laptm5"
0.00010846979674909,0.571301933800656,0.152,0.107,1,"1","Tbcb"
0.000109533392198329,0.371271137081375,0.203,0.149,1,"1","Fcer1g"
0.000121336478503332,0.271858805835891,0.284,0.22,1,"1","Snrnp70"
0.000124297492884953,0.4059982382215,0.265,0.208,1,"1","Mrpl51"
0.000134460922287129,0.266938082197269,0.2,0.147,1,"1","Ctss"
0.000168226042417841,0.302180779343653,0.38,0.316,1,"1","Etfb"
0.000178519147634469,0.349103269345606,0.319,0.261,1,"1","Spcs3"
0.000191050538450689,0.362022969631758,0.315,0.256,1,"1","Trappc2l"
0.000202591403390766,0.62729418934469,0.145,0.103,1,"1","Esp34"
0.000218156998757432,0.663030412892022,0.122,0.083,1,"1","Fut8"
0.000223843030312468,0.277500960057737,0.419,0.359,1,"1","Llph"
0.000235046535998528,0.476720435665104,0.124,0.084,1,"1","Gpbp1"
0.000322994339287012,0.523697991739895,0.13,0.09,1,"1","Klk1b11"
